geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Columbia,walking,NA,South Carolina,United States,2020-04-08,28.89
city,Columbia,walking,NA,South Carolina,United States,2020-04-09,29.52
city,Columbia,walking,NA,South Carolina,United States,2020-04-10,30.26
city,Columbia,walking,NA,South Carolina,United States,2020-04-11,28.31
city,Columbia,walking,NA,South Carolina,United States,2020-04-12,14.78
city,Columbia,walking,NA,South Carolina,United States,2020-04-13,27.54
city,Columbia,walking,NA,South Carolina,United States,2020-04-14,31.89
city,Columbia,walking,NA,South Carolina,United States,2020-04-15,32.23
city,Columbia,walking,NA,South Carolina,United States,2020-04-16,33.79
city,Columbia,walking,NA,South Carolina,United States,2020-04-17,38.48
city,Columbia,walking,NA,South Carolina,United States,2020-04-18,32.15
city,Columbia,walking,NA,South Carolina,United States,2020-04-19,21.59
city,Columbia,walking,NA,South Carolina,United States,2020-04-20,30.64
city,Columbia,walking,NA,South Carolina,United States,2020-04-21,34.16
city,Columbia,walking,NA,South Carolina,United States,2020-04-22,32.62
city,Columbia,walking,NA,South Carolina,United States,2020-04-23,28.99
city,Columbia,walking,NA,South Carolina,United States,2020-04-24,36.67
city,Columbia,walking,NA,South Carolina,United States,2020-04-25,34.65
city,Columbia,walking,NA,South Carolina,United States,2020-04-26,27.76
city,Columbia,walking,NA,South Carolina,United States,2020-04-27,32.71
city,Columbia,walking,NA,South Carolina,United States,2020-04-28,34.73
city,Columbia,walking,NA,South Carolina,United States,2020-04-29,34.45
city,Columbia,walking,NA,South Carolina,United States,2020-04-30,33.63
city,Columbia,walking,NA,South Carolina,United States,2020-05-01,43.23
city,Columbia,walking,NA,South Carolina,United States,2020-05-02,38.61
city,Columbia,walking,NA,South Carolina,United States,2020-05-03,29.7
city,Columbia,walking,NA,South Carolina,United States,2020-05-04,38.97
city,Columbia,walking,NA,South Carolina,United States,2020-05-05,38.4
city,Columbia,walking,NA,South Carolina,United States,2020-05-06,40.61
city,Columbia,walking,NA,South Carolina,United States,2020-05-07,40.59
city,Columbia,walking,NA,South Carolina,United States,2020-05-08,45.76
city,Columbia,walking,NA,South Carolina,United States,2020-05-09,45.87
city,Columbia,walking,NA,South Carolina,United States,2020-05-10,30.65
city,Columbia,walking,NA,South Carolina,United States,2020-05-11,NA
city,Columbia,walking,NA,South Carolina,United States,2020-05-12,NA
city,Columbia,walking,NA,South Carolina,United States,2020-05-13,47.54
city,Columbia,walking,NA,South Carolina,United States,2020-05-14,48.99
city,Columbia,walking,NA,South Carolina,United States,2020-05-15,58.42
city,Columbia,walking,NA,South Carolina,United States,2020-05-16,57.46
city,Columbia,walking,NA,South Carolina,United States,2020-05-17,41.82
city,Columbia,walking,NA,South Carolina,United States,2020-05-18,51.8
city,Columbia,walking,NA,South Carolina,United States,2020-05-19,49.45
city,Columbia,walking,NA,South Carolina,United States,2020-05-20,48.09
city,Columbia,walking,NA,South Carolina,United States,2020-05-21,56.14
city,Columbia,walking,NA,South Carolina,United States,2020-05-22,62.3
city,Columbia,walking,NA,South Carolina,United States,2020-05-23,61.1
city,Columbia,walking,NA,South Carolina,United States,2020-05-24,42.09
city,Columbia,walking,NA,South Carolina,United States,2020-05-25,43.56
city,Columbia,walking,NA,South Carolina,United States,2020-05-26,53.81
city,Columbia,walking,NA,South Carolina,United States,2020-05-27,50.1
city,Columbia,walking,NA,South Carolina,United States,2020-05-28,55.39
city,Columbia,walking,NA,South Carolina,United States,2020-05-29,58.93
city,Columbia,walking,NA,South Carolina,United States,2020-05-30,71.41
city,Columbia,walking,NA,South Carolina,United States,2020-05-31,43.66
city,Columbia,walking,NA,South Carolina,United States,2020-06-01,51.92
city,Columbia,walking,NA,South Carolina,United States,2020-06-02,53.3
city,Columbia,walking,NA,South Carolina,United States,2020-06-03,53.62
city,Columbia,walking,NA,South Carolina,United States,2020-06-04,55.57
city,Columbia,walking,NA,South Carolina,United States,2020-06-05,67.47
city,Columbia,walking,NA,South Carolina,United States,2020-06-06,60.66
city,Columbia,walking,NA,South Carolina,United States,2020-06-07,43.53
